統計期,松山區,信義區,大安區,中山區,中正區,大同區,萬華區,文山區,南港區,內湖區,士林區,北投區
90年,1322899,1280477,1467845,1075921,1312004,1030916,944800,1163876,1157477,1236800,1209881,1206778
91年,1350755,1308461,1509415,1160211,1342824,1079813,962386,1152634,1196323,1210519,1197574,1145899
92年,1337961,1279446,1425637,1178431,1333167,1111305,963575,1178888,1274131,1260573,1147115,1215675
93年,1261280,1264684,1418609,1201128,1291848,1024646,995990,1219920,1197361,1194104,1232325,1215983
94年,1323456,1310948,1390909,1203988,1311945,1138189,987964,1228471,1138625,1271575,1241636,1125458
95年,1376571,1340641,1416906,1193078,1323368,1170832,1039465,1275034,1133339,1272062,1258778,1180350
96年,1394249,1347193,1417558,1153823,1387495,1141927,1142284,1249457,1136184,1318393,1341311,1247167
97年,1380228,1300169,1498908,1202208,1319649,1108165,1033227,1253286,1108398,1324551,1252816,1223482
98年,1357780,1195856,1492211,1196015,1434795,1056087,954910,1184622,1030240,1280862,1324830,1177173
99年,1376600,1375218,1541228,1191775,1457728,1123127,1020100,1251422,1139874,1279037,1347743,1251340
100年,1318550,1274890,1475399,1275554,1372876,1062861,1009741,1225525,1088139,1234609,1227693,1220936
101年,1365941,1341951,1478147,1241754,1336687,1103958,1083564,1226358,1143020,1300090,1283486,1226520
102年,1379303,1322223,1580691,1154673,1419046,1097669,1084409,1169543,1140952,1297904,1327937,1168566
103年,1409689,1338056,1578059,1205897,1424659,1166623,1021278,1194676,1143682,1337584,1278169,1222098
104年,1472065,1330673,1498969,1258591,1373221,1204483,1088613,1288595,1096450,1313700,1319498,1319387
105年,1469372,1460396,1608058,1215553,1323175,1161262,1170078,1229376,1185284,1275812,1299778,1260921
106年,1468898,1383005,1487679,1285173,1363385,1176648,1213458,1293180,1245003,1346683,1374120,1340806
107年,1469585,1516751,1519311,1307768,1432504,1287778,1236130,1296503,1282167,1368490,1366979,1368779
108年,1549005,1537519,1590202,1339702,1450563,1313356,1234736,1348206,1353455,1371682,1488023,1377702
109年,1515487,1467403,1655882,1448320,1357202,1182090,1330288,1425678,1266949,1464826,1269880,1432283
110年,1586169,1483100,1679761,1491499,1649528,1177463,1168855,1456462,1208430,1461276,1269580,1309184
111年,1582590,1564596,1662396,1419286,1549548,1351766,1122527,1386640,1317035,1478480,1312775,1454607
112年,1503237,1527966,1707643,1418798,1649709,1248470,1136204,1391226,1329751,1522746,1352514,1411459
,,,,,,,,,,,,
,,,,,,,,,,,,
資料來源：臺北市家庭收支訪問調查,,,,,,,,,,,,
說明：,,,,,,,,,,,,
"表列數字尾數採用四捨五入法計列,故細數之和與總數未必絕對相一致。",,,,,,,,,,,,
