年別,臺北市, 松山區, 信義區, 大安區, 中山區, 中正區, 大同區, 萬華區, 文山區, 南港區, 內湖區, 士林區, 北投區
90年,6.95,5.86,7.49,6.13,7.56,5.85,7.23,8.53,7.42,7.92,6.64,6.78,6.7
91年,7.18,6.6,7.54,6.33,7.69,6.26,7.16,8.56,7.62,7.72,7.12,6.82,7.21
92年,6.9,6.08,7.45,5.83,7.64,6.14,7.19,8.72,6.9,7.4,6.48,6.72,7.05
93年,5.56,5.13,6.23,5.09,5.91,4.78,5.35,5.9,5.71,5.75,5.59,5.43,5.74
94年,5.85,5.2,6.31,5.56,6.24,5.48,5.44,6.84,5.9,6.1,5.76,5.67,5.77
95年,6.45,5.85,6.89,6.11,7.04,5.98,6.26,7.22,6.37,7.11,6.27,6.41,6.29
96年,5.83,5.53,5.91,5.49,6.57,5.33,5.56,6.21,5.78,7.03,5.78,5.72,5.64
97年,6.88,6.38,7.35,6.6,7.49,5.95,7.3,7.32,6.94,7.32,6.7,6.87,6.66
98年,5.46,5.07,5.82,5.57,6.34,5.13,5.41,5.67,5.08,5.84,5.23,5.31,5.22
99年,6.63,6.05,7.53,6.34,7.17,5.91,6.92,7.22,6.53,7.12,6.32,6.6,6.28
100年,8.11,7.01,8.41,7.64,8.73,7.24,8.31,9.19,7.75,8.85,8.5,8.29,7.85
101年,7.07,6.15,7.48,6.46,7.79,6.57,7.55,7.52,6.9,7.85,7.22,7.1,6.94
102年,7.04,6.15,7.45,6.53,7.99,6.39,7.05,7.51,6.57,7.71,7.15,7.38,6.94
103年,7.1,6.3,7.2,6.8,7.57,6.43,7.3,7.48,6.78,7.88,7.28,7.38,7.14
104年,6.94,6.16,7.29,6.2,7.34,6.78,6.93,7.07,6.67,7.65,7.64,7.26,6.67
105年,6.59,5.99,7.08,5.8,7.16,5.87,6.79,6.85,6.16,7.31,7.02,6.92,6.51
106年,6.01,5.16,6.67,5.39,6.69,4.94,6.23,6.21,5.62,6.61,6.44,6.22,6.05
107年,5.68,5.02,5.91,5.22,6.08,4.68,5.75,5.99,5.68,5.87,6.11,5.99,5.6
108年,5.58,4.98,5.89,5.17,5.86,4.93,5.87,5.82,5.23,5.83,5.85,5.77,5.89
109年,4.86,4.25,5.37,4.42,5.48,4.15,4.57,5.15,4.53,5.35,5.22,5.07,4.76
110年,4.41,3.68,4.94,3.99,4.73,3.88,3.85,4.5,4.14,4.85,4.84,4.85,4.42
111年,5.28,4.87,5.64,4.98,5.87,4.77,4.72,4.98,5.12,5.53,5.58,5.84,5.01
112年,5.48,4.96,6.36,5.35,5.98,4.65,5.35,5.22,4.92,5.66,5.96,5.85,5.21
